voter_name,affiliation,year,award,player,points_given
Bill Reiter,CBSSports.com,2022,All-Rook,Jalen Green,2
Bill Reiter,CBSSports.com,2022,All-Rook,Evan Mobley,2
Bill Reiter,CBSSports.com,2022,All-Rook,Josh Giddey,1
Bill Reiter,CBSSports.com,2022,All-Rook,Chris Duarte,1
Bill Reiter,CBSSports.com,2022,All-Rook,Jonathan Kuminga,1
Bill Reiter,CBSSports.com,2022,All-Rook,Bones Hyland,1
Bill Reiter,CBSSports.com,2022,All-Rook,Herbert Jones,1
Bill Reiter,CBSSports.com,2022,COY,Taylor Jenkins,5
Bill Reiter,CBSSports.com,2022,COY,Monty Williams,3
Bill Reiter,CBSSports.com,2022,COY,Erik Spoelstra,1
Bill Reiter,CBSSports.com,2022,DPOY,Marcus Smart,5
Bill Reiter,CBSSports.com,2022,DPOY,Bam Adebayo,3
Bill Reiter,CBSSports.com,2022,DPOY,Mikal Bridges,1
Bill Reiter,CBSSports.com,2022,MIP,Ja Morant,5
Bill Reiter,CBSSports.com,2022,MIP,Darius Garland,3
Bill Reiter,CBSSports.com,2022,MIP,Miles Bridges,1
Bill Reiter,CBSSports.com,2022,MVP,Nikola Jokic,10
Bill Reiter,CBSSports.com,2022,MVP,Giannis Antetokounmpo,7
Bill Reiter,CBSSports.com,2022,MVP,Joel Embiid,5
Bill Reiter,CBSSports.com,2022,MVP,Devin Booker,3
Bill Reiter,CBSSports.com,2022,MVP,Luka Doncic,1
Bill Reiter,CBSSports.com,2022,ROY,Evan Mobley,5
Bill Reiter,CBSSports.com,2022,ROY,Scottie Barnes,3
Bill Reiter,CBSSports.com,2022,ROY,Cade Cunningham,1
Bill Reiter,CBSSports.com,2022,SMOY,Tyler Herro,5
Bill Reiter,CBSSports.com,2022,SMOY,Kevin Love,3
Bill Reiter,CBSSports.com,2022,SMOY,Kelly Oubre Jr.,1
Bill Simmons,The Ringer,2022,All-Defense,Mikal Bridges,2
Bill Simmons,The Ringer,2022,All-Defense,Jaren Jackson Jr.,2
Bill Simmons,The Ringer,2022,All-Defense,Bam Adebayo,2
Bill Simmons,The Ringer,2022,All-Defense,Marcus Smart,2
Bill Simmons,The Ringer,2022,All-Defense,Jrue Holiday,2
Bill Simmons,The Ringer,2022,All-Defense,Draymond Green,1
